,bc_lb_rf0.2_sax0.5_poi80.0,bc_lb_rf0.45_sax0.75_poi80.0,bc_mb_rf0.175_sax0.5_poi80.0,bc_mb_rf0.3_sax0.75_poi80.0,bc_mb_rf0.5_sax1.0_poi80.0,lb_rf0.175_sax0.5_poi80.0,lb_rf0.35_sax0.75_poi80.0,mb_rf0.175_sax0.75_poi80.0
18283,1.0,0.87015587198084,1.0,1.0260616856388065,0.9486352180316953,1.0,1.1511066146920141,1.3263176736408437
18284,1.0,1.549705298742289,1.0,1.527858640835493,1.4678315338766117,1.0,1.5088858370477691,1.5564620235567568
18285,1.2180795056022888,1.1894067388076257,1.3140389195082758,1.2964246247768454,1.3237304046046816,1.2701196334082776,1.2314628198907673,1.372886714594297
18286,1.3210060187023225,1.2280148762527396,1.4951562334602513,1.4924991807429455,1.2433940212440149,1.2389310882453364,1.1876906906669777,1.3877694545707993
18287,1.5519977811424037,2.1711180172388542,1.6110887739922106,2.1668844533818983,2.731723593877885,1.4639238578158478,1.998027948727473,1.8575781402954483
18288,0.3766646970884113,-0.21199519530100175,0.48341727412700086,-0.009975800027796744,-0.3803414210766727,0.4116981632858915,-0.1529991494980898,0.13429498353408498
18289,0.7661518722297518,0.671494243906702,0.9559163730808349,0.8456738768543417,0.9259738895381844,0.7710597419299425,0.7090880071606662,0.9271875640767089
18290,1.0,1.3837512528020346,1.0,1.4027557485801054,1.4340947730775007,1.0,1.415979106551962,1.0
18291,1.9305369929246958,1.8904866378720744,2.068743337172263,1.8238977948255393,0.9471174022784208,1.6118728781684224,1.35858611582037,1.1071675292603458
18292,2.0039414208671484,2.2595649468839483,2.007990941079836,2.222636910701887,2.4426520367788385,1.84003105141071,2.1135964296477745,1.8222491531980012
18293,1.0,1.4957280753351307,1.0,1.5796220903385727,1.6756073088326335,1.0,1.4794528229273904,1.0
18294,1.0,0.8540534598332892,1.0,0.8654900668795111,0.5373252735332699,1.0,0.6750017229717944,0.6617514789484265
18295,1.0,1.2531811909471458,1.0,1.4403277684164806,1.613514939316424,1.0,1.1885217606171654,1.3237159652697486
18296,1.0,1.9540511879214542,1.0,2.125556370827425,2.170169348922748,1.0,2.06087054117814,2.321244463556166
18297,1.89199504370976,2.61166371636261,1.7250333357683183,2.2012374441677807,2.7141316516613614,1.7673531440453067,2.425147837688943,1.944188904313032
18298,1.0,1.836187099047101,1.0,1.7558275633187383,2.1434368472916994,1.0,1.8267832479596549,1.7511846504341149
18299,1.754968444262441,2.0009436627234436,1.8356833553239635,2.129936794192428,2.804666464109566,1.9211473417347689,2.4256897853264796,2.5742724324418784
18300,1.1139379937528089,0.35521728516825135,0.971025810318058,0.12182793545068193,-1.0746469614406493,1.0838689003387723,0.38596221205889236,0.30392537032865086
18301,1.0,1.120566658639441,1.0,1.3078351661523282,1.3385459795550787,1.0,1.1515226550482165,1.4452512244329725
18302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
