,area,prior_landfills,prior_wastewater,prior_ong,prior_livestock,prior_coal,prior_other_anth,prior_total,prior_gasdist,post_mean,post_min,post_max,post_hr_mean,post_hr_min,post_hr_max,diff_mean,diff_min,diff_max,dofs_mean,dofs_min,dofs_max,pop_2010,pop_2000,prior_postmeter,xhat_mean,xhat_min,xhat_max,post_mean_pc
"Riverside--San Bernardino, CA",4214.6312856385375,14.574078344915918,2.48856014715198,0.009048224277539261,10.362040830775268,0.0,2.7376463079223763,35.210980509656686,2.1595924874336427,40.33554887121343,38.9317052292315,42.327513889129136,25.72400995264821,24.184093083762363,26.832483327942512,8.004582528736716,6.600738886754776,9.996547546652415,0.4113960248207208,0.3264984670153898,0.5180646389262142,1932666,1506816,2.8800141671799624,1.1455389281236097,1.105669443614454,1.2021111958958577,2.087041882622938e-05
"Stockton, CA",1447.6849373691075,7.3406571656530915,2.799500724564444,0.7899981120064885,15.885792603109257,0.0,0.8290197333757647,28.81171205378323,0.6145095007215464,56.52540626204372,46.995568390592496,67.93818079164829,24.450952073960927,19.977067689627265,30.316121756397987,28.265928422613133,18.736090551161904,39.678702952217705,0.23525001447236665,0.14511594509259235,0.3726514273093763,370583,313392,0.5522342143526362,1.9618898785510193,1.6311272409937045,2.358005684106072,0.00015253102884385877
"San Jose, CA",2842.4497057184412,12.155672817966703,4.433100521943031,0.0,0.9578328768054973,0.0,1.6926117954123772,23.506529552198685,1.7869181036395498,25.981330660153425,23.709545050421838,31.72935816205927,23.54041045770265,21.370487813907893,28.978241864150245,4.95519454438627,2.6834089346546826,10.703222046292115,0.29824090858997365,0.18479711284554512,0.4547945063164293,1664496,1538312,2.48039343643153,1.1052814326529652,1.0086365576752763,1.3498104044495782,1.5609127724039843e-05
"Tulsa, OK",4687.299377370004,14.340850609224974,0.645802855324401,5.6864975831590865,6.50315647824103,0.0,1.2362106085701265,32.351834438979026,2.9625366610606254,35.63048563641685,27.713477622900832,43.01594546456457,23.080795523334867,17.54970501279245,28.520096662959624,4.255430840836605,-3.661577172679408,11.640890668984326,0.3843720729715158,0.2749846035410943,0.5353646847573474,655479,558329,0.9767796433987843,1.1013435947078025,0.8566277029876957,1.3296292531942768,5.435793616029934e-05
"Youngstown, OH--PA",3641.3522694713847,16.222365031576786,0.723567398612728,19.490827742266077,4.748766705941571,0.0,0.933748371923063,44.08955246440926,1.3927591688134444,54.73586193266191,48.1247600556692,62.76817205045895,22.895308481263427,19.559331619202993,27.758866589641887,11.223827513528239,4.612725636535529,19.25613763132528,0.39873285020895244,0.23542343691835196,0.6244536978034909,387550,417437,0.5775180452755906,1.241470118728167,1.0915229882298605,1.4236518300141008,0.0001412356132954765
"Grand Rapids, MI",4957.155360078543,13.977463208029926,0.585434635117899,2.0682257233324126,15.136483084903285,0.0,1.3195349668372873,36.0368695754013,2.1004240037960336,45.24093773698654,40.627844320334496,52.359448522220994,22.51668487689453,20.96906633279675,25.052779892788912,10.05337211496969,5.440278698317648,17.171882900204146,0.2178717110383542,0.13182578454174626,0.3348846856928909,569935,539080,0.8493039533844503,1.2554069837372313,1.1273966023970903,1.4529410889219263,7.937911820994769e-05
"Tuscaloosa, AL",2428.8098617463093,11.794694265895604,0.24665307512656878,18.793494576071968,1.295454691702163,1.8923165334715841,0.23127522803919107,34.812284281454446,0.35109144630290867,55.181253431327306,45.44242489199925,68.84000376624476,21.645583993108946,17.80340205332282,26.626463208704326,20.57627361471732,10.837445075389262,34.23502394963477,0.4807152547895939,0.29830476437024894,0.7373564747984018,139114,116888,0.20730446484445492,1.5851086640908545,1.3053560210126114,1.9774629900663516,0.0003966621147499699
"Lancaster, PA",2154.2508035993933,4.234282402668898,0.6429524270150975,1.6091034400276096,20.165212790832744,0.0,0.8622412312637946,29.566643327540834,1.453793974003959,63.6940873970248,50.603405402786244,77.59100054877979,21.210658140549317,14.577378920275489,30.523529429295095,34.726501131212686,21.63581913697414,48.62341428296769,0.29307120400028025,0.16916861251203152,0.4704523974907292,402004,323554,0.5990570617287279,2.154254938290368,1.7115032248402042,2.624274919855548,0.0001584414269435747
"Pittsburgh, PA",10307.083498821888,13.54626298342274,3.079011738139019,71.37547372811258,7.292327300050761,200.15351676906192,3.1920285434147684,307.3356543397204,6.113285644038475,414.89058435412153,353.9768930388099,501.8143634410959,21.03033835733924,19.526387072439704,22.164108986804564,110.13867764788131,49.22498633256964,197.06245673485563,0.4446224644411243,0.2550894031271351,0.7146927775534702,1733853,1753136,2.583747633480115,1.3499591684065164,1.151759934262406,1.63278928544491,0.00023928821206533745
"Lexington-Fayette, KY",3043.364564074403,9.313664452716658,0.27529444321547514,0.0,5.942484649373048,0.0,0.8953550674474684,17.29499690486356,0.4356550838130653,27.123242015063813,21.971657903189488,33.275024971007184,19.300593173245105,14.644175326311418,24.76460145794938,10.260788318498097,5.109204206623772,16.41257127444147,0.352273125926516,0.2229477388213933,0.5350180876436144,290263,250994,0.43254320829784215,1.5682709956100909,1.2704054255719928,1.9239682524400945,9.344367699315384e-05
"Sioux Falls, SD",1403.127065132456,2.151405585939677,5.51436724715551,0.0,6.563379743450069,0.0,0.28329472465991856,15.004994331860582,0.25892157178772335,31.641613469398173,27.63078515231672,38.85660615485499,18.600607455856927,15.66293622765363,24.354539979875963,16.87024459640528,12.859416279323822,24.085237281862092,0.3128889589809754,0.2182497280667411,0.4527499816012102,156777,124269,0.23362545886768485,2.1087387818742807,1.8414392262479828,2.5895781961309723,0.00020182560879081863
"Jackson, MS",3267.345877111854,5.747096192496838,3.1052734786597336,3.5992644529058717,2.4820278151130686,0.0,0.5599633836260522,16.616889095426888,0.5994993873398788,30.10362286533943,26.793286827879363,33.61478117259863,18.2703148987924,16.30543035700606,20.31323608336346,14.01049815519799,10.700162117737921,17.52165646245719,0.21052257369386726,0.14029064285286647,0.3107964326967229,351478,292637,0.5237643852854446,1.81162807866511,1.612412929641151,2.0229286588817463,8.564866895037365e-05
